symbol,timestamp_utc,open,high,low,close,volume,ema20,ema50,ema200,rsi14,macd_line,macd_signal,macd_hist,atr14,adx14,bb_upper,bb_mid,bb_lower,bb_width_pct,atr_percentile,bb_width_percentile,ema_stack,higher_high_higher_low,lower_high_lower_low,regime,strong_uptrend,panic,compression,supertrend_dir_10_3,donchian_high20,donchian_low10,keltner_upper_20_10_2,keltner_mid20,atr_breakout_level_14_1p5
BTC/USD,2025-07-20T00:00:00+00:00,117796.0,117973.33,117654.03,117973.32,0.1384,117992.599053,118238.977767,117417.058018,47.87,-121.554622,-129.883606,8.328984,392.114438,22.96,118404.205869,118027.597,117650.988131,0.638,28.4,6.1,MIXED,False,False,COMPRESSION,False,False,True,-1,118458.82,117313.28,118720.83553,117992.599053,118384.171657
BTC/USD,2025-07-20T01:00:00+00:00,117973.3,118099.75,117858.59,117966.42,0.0652,117990.10581,118228.289227,117422.524307,47.71,-109.412765,-125.789438,16.376673,381.331978,23.53,118384.682741,118015.8705,117647.058259,0.625,25.7,6.0,MIXED,False,False,COMPRESSION,False,False,True,-1,118458.82,117313.28,118693.750639,117990.10581,118545.317967
BTC/USD,2025-07-20T02:00:00+00:00,117960.0,118027.06,117786.29,117923.61,0.1319,117983.772875,118216.341022,117427.510234,46.63,-102.068088,-121.045168,18.97708,371.291837,24.26,118362.875125,118002.057,117641.238875,0.612,22.7,6.0,MIXED,False,False,COMPRESSION,False,False,True,-1,118458.82,117313.28,118665.207222,117983.772875,118523.357755
BTC/USD,2025-07-20T03:00:00+00:00,118051.25,118187.79,117771.45,118019.41,0.2215,117987.166887,118208.618237,117433.399784,49.38,-87.508377,-114.33781,26.829433,374.509563,24.11,118342.958604,117993.183,117643.407396,0.593,23.7,5.7,MIXED,False,False,COMPRESSION,False,False,True,-1,118458.82,117313.28,118683.725799,117987.166887,118485.374344
BTC/USD,2025-07-20T04:00:00+00:00,118019.32,118145.83,117844.73,118002.85,0.1052,117988.660517,118200.548894,117439.065955,48.91,-76.424976,-106.755243,30.330267,369.266022,23.96,118337.530103,117989.6495,117641.768897,0.59,22.1,5.7,MIXED,False,False,COMPRESSION,False,False,True,-1,118458.82,117313.28,118675.783538,117988.660517,118573.309034
BTC/USD,2025-07-20T05:00:00+00:00,117986.44,117986.45,117799.22,117930.25,0.2807,117983.097611,118189.948938,117443.953358,46.82,-72.661912,-99.936577,27.274665,357.434878,23.98,118323.88739,117980.2615,117636.63561,0.583,18.4,5.6,MIXED,False,False,COMPRESSION,False,False,True,-1,118458.82,117313.28,118642.234329,117983.097611,118539.002317
BTC/USD,2025-07-20T06:00:00+00:00,117915.81,117943.01,117813.62,117931.16,0.0636,117978.151172,118179.800352,117448.801186,46.85,-68.812994,-93.71186,24.898866,341.145958,24.0,118257.398113,117959.155,117660.911887,0.506,14.9,4.9,MIXED,True,False,COMPRESSION,False,False,True,-1,118458.82,117313.28,118597.252218,117978.151172,118441.968937
BTC/USD,2025-07-20T07:00:00+00:00,117851.06,118225.43,117802.38,117991.93,0.0209,117979.463441,118172.432887,117454.205453,48.97,-60.165517,-87.002592,26.837075,346.996247,22.54,118209.492755,117945.4955,117681.498245,0.448,15.9,4.4,MIXED,False,False,COMPRESSION,False,False,True,-1,118349.31,117559.48,118621.264383,117979.463441,118451.65437
BTC/USD,2025-07-20T08:00:00+00:00,118036.06,118282.22,118036.06,118118.32,0.1521,117992.687875,118170.310813,117460.813558,53.16,-42.622388,-78.126551,35.504163,342.945801,20.94,118189.902487,117941.065,117692.227513,0.422,15.1,4.3,MIXED,False,False,COMPRESSION,False,False,True,-1,118284.9,117654.03,118628.366723,117992.687875,118506.348701
BTC/USD,2025-07-20T09:00:00+00:00,118209.47,118282.85,117974.64,117974.64,0.0386,117990.96903,118162.637448,117465.926258,48.3,-39.853699,-70.471981,30.618282,340.464672,19.71,118151.701391,117930.191,117708.680609,0.376,14.8,3.1,MIXED,False,False,COMPRESSION,False,False,True,-1,118282.85,117654.03,118624.721993,117990.96903,118629.017008
BTC/USD,2025-07-20T10:00:00+00:00,117989.96,118034.96,117930.25,117963.08,0.013,117988.312932,118154.811666,117470.873062,47.92,-38.15249,-64.008082,25.855593,323.625053,18.78,118127.525325,117945.6405,117763.755675,0.308,11.9,1.5,MIXED,False,False,COMPRESSION,False,False,True,-1,118282.85,117771.45,118579.632599,117988.312932,118460.077579
BTC/USD,2025-07-20T11:00:00+00:00,117930.25,118111.8,117880.0,117880.0,0.1797,117977.997414,118144.034738,117474.943977,45.18,-43.012312,-59.808928,16.796616,317.06612,17.52,118118.126574,117938.232,117758.337426,0.305,11.3,1.2,MIXED,False,False,COMPRESSION,False,False,True,-1,118282.85,117771.45,118556.545115,117977.997414,118438.67918
BTC/USD,2025-07-20T12:00:00+00:00,117911.85,118138.58,117803.46,118107.3,0.0681,117990.311946,118142.59416,117481.236076,53.1,-28.197502,-53.486643,25.289141,318.355683,16.72,118122.034177,117939.095,117756.155823,0.31,11.5,1.9,MIXED,False,True,COMPRESSION,False,False,True,-1,118282.85,117771.45,118578.028877,117990.311946,118357.533525
BTC/USD,2025-07-20T13:00:00+00:00,118088.5,118383.11,118071.23,118383.11,0.0698,118027.721285,118152.026153,117490.209946,60.54,5.732819,-41.642751,47.375569,317.893134,16.24,118227.18389,117966.0305,117704.87711,0.443,11.5,5.1,MIXED,False,True,COMPRESSION,False,False,True,-1,118383.11,117799.22,118619.042522,118027.721285,118584.139701
BTC/USD,2025-07-20T14:00:00+00:00,118383.11,118754.66,118352.06,118475.5,0.4376,118070.366877,118164.711402,117500.013827,62.68,39.621215,-25.389958,65.011172,323.943625,17.09,118333.902192,117990.9705,117648.038808,0.581,12.4,6.7,MIXED,False,False,COMPRESSION,False,False,True,-1,118754.66,117799.22,118683.07599,118070.366877,118869.025437
BTC/USD,2025-07-20T15:00:00+00:00,118475.54,118753.06,118306.9,118658.12,0.6533,118126.343365,118184.060759,117511.537272,66.54,80.288406,-4.254285,84.542691,332.673366,17.65,118474.832702,118025.8965,117576.960298,0.761,14.0,10.4,MIXED,False,False,COMPRESSION,False,False,True,-1,118754.66,117802.38,118767.013567,118126.343365,118974.510049
BTC/USD,2025-07-20T16:00:00+00:00,118658.07,118835.18,118435.91,118572.1,0.2805,118168.796378,118199.277984,117522.090135,63.22,104.373203,17.471213,86.90199,337.430268,18.43,118560.307562,118063.7675,117567.227438,0.841,14.9,14.7,MIXED,False,False,COMPRESSION,False,False,True,-1,118835.18,117802.38,118825.253559,118168.796378,119164.265402
BTC/USD,2025-07-20T17:00:00+00:00,118434.74,118521.07,118028.62,118076.8,0.6138,118160.034818,118194.474926,117527.609636,48.3,82.542509,30.485472,52.057037,352.148106,17.27,118556.7466,118079.268,117601.7894,0.809,18.8,12.4,MIXED,True,False,COMPRESSION,False,False,True,-1,118835.18,117803.46,118859.542282,118160.034818,119100.322159
BTC/USD,2025-07-20T18:00:00+00:00,118175.68,118479.55,118065.99,118299.7,0.1449,118173.336264,118198.6014,117535.292127,53.61,82.279231,40.844224,41.435007,356.53467,16.21,118575.775144,118102.181,117628.586856,0.802,19.6,11.7,MIXED,True,False,COMPRESSION,False,False,True,-1,118835.18,117803.46,118885.604981,118173.336264,118611.602005
BTC/USD,2025-07-20T19:00:00+00:00,118399.97,118563.43,118188.82,118225.22,0.2092,118178.277572,118199.645266,117542.157081,51.7,75.193879,47.714155,27.479724,357.825765,15.54,118578.31493,118123.642,117668.96907,0.77,20.5,10.5,MIXED,True,False,COMPRESSION,False,False,True,-1,118835.18,117803.46,118894.241418,118178.277572,118836.438648
BTC/USD,2025-07-20T20:00:00+00:00,118199.86,118236.47,117881.16,118137.59,0.0922,118174.402565,118197.211726,117548.081787,49.46,61.795339,50.530392,11.264948,357.646068,15.12,118581.27423,118131.8555,117682.43677,0.761,20.3,10.5,MIXED,True,False,COMPRESSION,False,False,True,-1,118835.18,117803.46,118889.832026,118174.402565,118761.689101
BTC/USD,2025-07-20T21:00:00+00:00,118037.92,118134.86,117864.9,118024.85,0.4367,118160.159464,118190.452443,117552.825749,46.67,41.600183,48.74435,-7.144167,351.577777,14.79,118580.601303,118134.777,117688.952697,0.755,18.4,10.4,MIXED,True,False,COMPRESSION,False,False,True,-1,118835.18,117803.46,118858.583979,118160.159464,118664.956666
BTC/USD,2025-07-20T22:00:00+00:00,118006.06,118006.06,116544.15,117576.27,1.0225,118104.550943,118166.366857,117553.059025,37.58,-10.480468,36.899386,-47.379854,432.229364,17.25,118618.429532,118117.41,117616.390468,0.848,45.5,15.6,MIXED,False,False,RANGE,False,False,False,-1,118835.18,116544.15,119029.273007,118104.550943,118673.194047
BTC/USD,2025-07-20T23:00:00+00:00,117516.13,117516.13,116888.44,117232.91,0.5888,118021.53752,118129.760706,117549.873463,32.38,-78.555503,13.808409,-92.363911,450.486553,19.54,118710.051771,118078.085,117446.118229,1.07,50.8,28.7,MIXED,False,False,RANGE,False,False,False,-1,118835.18,116544.15,118991.353377,118021.53752,118251.999829
BTC/USD,2025-07-21T00:00:00+00:00,117145.08,117301.88,116579.16,117213.55,1.1021,117944.586328,118093.830874,117546.526961,32.11,-132.539812,-15.461236,-117.078576,469.931799,22.05,118774.489653,118038.62,117302.750347,1.247,55.2,36.9,MIXED,False,False,NEUTRAL,False,False,False,-1,118835.18,116544.15,118961.964599,117944.586328,117937.807698
BTC/USD,2025-07-21T01:00:00+00:00,117383.8,117413.79,116806.23,117178.21,0.3182,117871.598106,118057.924173,117542.862115,31.59,-176.143931,-47.597775,-128.546156,479.762385,23.94,118826.584937,118001.018,117175.451063,1.399,57.3,43.5,MIXED,False,False,NEUTRAL,False,False,False,-1,118835.18,116544.15,118908.75055,117871.598106,117933.193577
BTC/USD,2025-07-21T02:00:00+00:00,117362.35,118103.45,117350.01,118028.63,0.1892,117886.553525,118056.775382,117547.695627,51.74,-140.459592,-66.170138,-74.289454,511.582214,23.49,118830.901936,118005.8915,117180.881064,1.398,62.8,43.3,MIXED,False,False,NEUTRAL,False,False,False,-1,118835.18,116544.15,119005.038724,117886.553525,117945.583322
BTC/USD,2025-07-21T03:00:00+00:00,118119.5,118584.23,118014.78,118354.0,0.0703,117931.072236,118068.431249,117555.718556,56.97,-84.945656,-69.925242,-15.020414,515.715628,21.95,118862.760875,118023.995,117185.229125,1.421,63.2,43.9,MIXED,False,False,NEUTRAL,False,False,False,-1,118835.18,116544.15,119051.598916,117931.072236,118802.203441
BTC/USD,2025-07-21T04:00:00+00:00,118354.0,118583.56,118230.67,118286.37,0.0887,117964.910119,118076.977867,117562.988719,55.62,-45.878776,-65.115948,19.237173,504.085226,20.51,118878.112861,118032.3975,117186.682139,1.433,60.9,44.0,MIXED,False,False,NEUTRAL,False,False,False,-1,118835.18,116544.15,119043.962131,117964.910119,119110.127838
BTC/USD,2025-07-21T05:00:00+00:00,118370.44,118421.63,118142.57,118421.61,0.0557,118008.405346,118090.492853,117571.532215,57.77,-3.95961,-52.884681,48.925071,488.011995,19.38,118916.643174,118054.746,117192.848826,1.46,58.0,45.1,MIXED,False,False,RANGE,False,False,False,-1,118835.18,116544.15,119035.364156,118008.405346,119018.387993
BTC/USD,2025-07-21T06:00:00+00:00,118353.52,119142.46,118232.8,119128.48,0.9974,118115.079122,118131.198231,117587.024232,66.82,85.316656,-25.244413,110.561069,518.12971,19.14,119091.88554,118113.016,117134.14646,1.658,63.6,54.9,MIXED,False,False,RANGE,False,False,False,1,119142.46,116544.15,119221.274052,118115.079122,119198.804565
BTC/USD,2025-07-21T07:00:00+00:00,119142.46,119510.73,119115.49,119237.76,2.1166,118222.00111,118174.59281,117603.449464,67.97,163.007671,12.406003,150.601667,509.351873,19.5,119268.056692,118180.904,117093.751308,1.84,62.0,62.4,UP,False,False,RANGE,False,False,False,1,119510.73,116544.15,119296.624547,118222.00111,119892.50781
BTC/USD,2025-07-21T08:00:00+00:00,119237.77,119481.1,118812.13,119050.19,0.6356,118300.876243,118208.929955,117617.844892,63.9,207.056213,51.336045,155.720168,520.753168,19.13,119378.291379,118228.0485,117077.805621,1.946,63.7,64.1,UP,False,False,RANGE,False,False,False,1,119510.73,116579.16,119401.831336,118300.876243,120018.889752
BTC/USD,2025-07-21T09:00:00+00:00,119050.19,119158.16,118584.23,118648.25,0.3598,118333.959458,118226.158192,117628.097679,56.14,207.143975,82.497631,124.646344,524.551513,18.29,119404.430917,118241.3055,117078.180083,1.967,64.7,64.7,UP,False,False,RANGE,False,False,False,1,119510.73,116579.16,119439.605041,118333.959458,119837.01727
BTC/USD,2025-07-21T10:00:00+00:00,118684.44,118843.52,118364.33,118639.75,0.0979,118363.082367,118242.377479,117638.163872,55.98,204.174056,106.832916,97.34114,521.311405,17.05,119421.428042,118249.518,117077.607958,1.982,63.7,64.9,UP,False,False,RANGE,False,False,False,1,119510.73,116806.23,119454.001392,118363.082367,119430.217108
BTC/USD,2025-07-21T11:00:00+00:00,118639.75,118823.07,118176.23,118229.59,3.8968,118350.368808,118241.876009,117644.048709,48.97,166.801111,118.826555,47.974556,530.277733,16.14,119384.908284,118228.0915,117071.274716,1.957,64.8,64.1,UP,False,False,RANGE,False,False,False,1,119510.73,117350.01,119461.563931,118350.368808,119435.1666
BTC/USD,2025-07-21T12:00:00+00:00,118229.59,118584.2,117901.55,118222.94,0.3506,118338.232731,118241.13342,117649.808821,48.86,135.088962,122.079037,13.009925,541.161467,15.8,119356.645229,118210.6335,117064.621771,1.939,66.0,63.5,UP,False,False,RANGE,False,False,False,1,119510.73,117901.55,119474.838341,118338.232731,119041.3322
BTC/USD,2025-07-21T13:00:00+00:00,118222.94,119014.5,117922.94,118804.18,0.1073,118382.608661,118263.213678,117661.295101,57.58,155.070509,128.677331,26.393178,580.475648,14.75,119419.576282,118247.0025,117074.428718,1.983,70.1,64.9,UP,False,False,RANGE,False,False,False,1,119510.73,117901.55,119623.865711,118382.608661,119093.653472
BTC/USD,2025-07-21T14:00:00+00:00,118760.94,119190.11,118578.19,118881.53,0.4981,118430.124979,118287.461377,117673.436742,58.59,175.128752,137.967615,37.161137,582.721673,14.11,119480.881798,118276.094,117071.306202,2.037,70.4,65.6,UP,False,False,RANGE,False,False,False,1,119510.73,117901.55,119669.640324,118430.124979,119678.262509
BTC/USD,2025-07-21T15:00:00+00:00,118771.82,119114.82,118310.81,118310.81,0.3114,118418.761648,118288.377009,117679.778765,49.26,143.32061,139.038214,4.282396,598.527982,13.23,119485.016098,118280.3735,117075.730902,2.037,72.0,65.6,UP,False,False,RANGE,False,False,False,1,119510.73,117901.55,119695.127458,118418.761648,119779.321973
BTC/USD,2025-07-21T16:00:00+00:00,118391.83,118402.69,117476.81,117781.52,0.5236,118358.071967,118268.500264,117680.791115,42.49,74.543853,126.139342,-51.595489,621.910269,13.78,119485.512954,118262.57,117039.627046,2.068,74.3,66.9,UP,False,False,RANGE,False,False,False,1,119510.73,117476.81,119691.977196,118358.071967,119243.675403
BTC/USD,2025-07-21T17:00:00+00:00,117779.13,118144.34,117407.15,117921.53,0.4612,118316.496542,118254.893587,117683.186527,44.66,30.978316,107.107137,-76.128821,630.144535,14.39,119485.183383,118257.404,117029.624617,2.076,75.6,67.2,UP,False,False,RANGE,False,False,False,1,119510.73,117407.15,119664.449248,118316.496542,118726.736803
BTC/USD,2025-07-21T18:00:00+00:00,117921.53,118183.71,117093.67,117189.99,1.4915,118209.210204,118213.132662,117678.279099,36.85,-61.863724,73.312965,-135.176689,662.994211,15.38,119519.119241,118238.09,116957.060759,2.167,78.5,69.5,MIXED,True,False,RANGE,False,False,False,-1,119510.73,117093.67,119640.37564,118209.210204,118916.021317
BTC/USD,2025-07-21T19:00:00+00:00,117137.16,117583.52,116738.46,116789.34,1.444,118073.984471,118157.297656,117669.433934,33.41,-165.858898,25.478592,-191.33749,675.998911,16.73,119578.543629,118215.9115,116853.279371,2.305,80.3,71.7,MIXED,True,False,RANGE,False,False,False,-1,119510.73,116738.46,119531.045363,118073.984471,118203.988366
BTC/USD,2025-07-21T20:00:00+00:00,116789.34,117210.31,116732.09,116900.01,0.3888,117962.177378,118107.992257,117661.777974,35.21,-236.618093,-26.940745,-209.677348,661.871846,18.0,119614.857023,118200.2345,116785.611977,2.394,78.3,72.9,MIXED,True,False,RANGE,False,False,False,-1,119510.73,116732.09,119369.176181,117962.177378,117782.147768
BTC/USD,2025-07-21T21:00:00+00:00,116900.0,117389.77,116900.0,117263.29,0.9289,117895.616676,118074.866679,117657.81292,40.86,-260.380104,-73.628617,-186.751487,649.578857,18.72,119607.253868,118204.4885,116801.723132,2.373,76.4,72.8,MIXED,True,False,RANGE,False,False,False,-1,119510.73,116732.09,119259.869598,117895.616676,117874.378285
BTC/USD,2025-07-21T22:00:00+00:00,117177.52,117640.81,117164.91,117457.45,0.1993,117853.886516,118050.65426,117655.819259,43.69,-260.541223,-111.011138,-149.530085,637.173224,18.78,119614.64986,118175.9295,116737.20914,2.435,75.9,74.1,MIXED,True,False,RANGE,False,False,False,-1,119510.73,116732.09,119176.894146,117853.886516,118219.049836
BTC/USD,2025-07-21T23:00:00+00:00,117408.27,117529.21,117213.29,117480.91,0.044,117818.364943,118028.311348,117654.078868,44.04,-255.826872,-139.974285,-115.852588,614.226565,18.83,119599.436209,118132.275,116665.113791,2.484,72.8,75.2,MIXED,True,False,RANGE,False,False,False,-1,119510.73,116732.09,119072.25581,117818.364943,118378.789848
BTC/USD,2025-07-22T00:00:00+00:00,117336.01,117552.12,117047.58,117096.42,0.3266,117749.608282,117991.766589,117648.530024,39.71,-279.889454,-167.957319,-111.932135,606.391811,19.15,119605.178318,118072.7775,116540.376682,2.596,71.7,76.7,MIXED,True,False,RANGE,False,False,False,-1,119510.73,116732.09,118979.018062,117749.608282,118390.497716
BTC/USD,2025-07-22T01:00:00+00:00,117145.67,117864.98,116178.21,117784.77,1.2131,117752.957017,117983.649076,117649.885645,49.32,-240.641169,-182.494089,-58.14708,683.561681,20.64,119569.480382,118040.9355,116512.390618,2.59,80.7,76.7,MIXED,False,False,NEUTRAL,False,False,False,-1,119510.73,116178.21,119196.779819,117752.957017,118121.762522
BTC/USD,2025-07-22T02:00:00+00:00,117778.26,117807.88,116975.25,116975.25,0.1558,117678.889682,117944.104014,117643.172853,41.03,-271.725833,-200.340438,-71.385395,694.209418,22.02,119443.463382,117933.274,116423.084618,2.561,81.9,76.7,MIXED,False,False,NEUTRAL,False,False,False,-1,119510.73,116178.21,119144.856204,117678.889682,118826.084127
