symbol,trade_num,entry_utc,exit_utc,entry_price,exit_price,size,pnl_usd,exit_module
BTC/USD,1,2025-08-07 22:00,2025-08-08 15:00,"117,431.11","115,851.36",0.0006387,-1.60,ATR
BTC/USD,2,2025-08-10 04:00,2025-08-11 11:00,"118,494.07","120,828.31",0.0006329,+0.87,ATR
BTC/USD,3,2025-08-11 14:00,2025-08-11 21:00,"120,269.07","118,342.37",0.0006236,-1.80,ATR
BTC/USD,4,2025-08-11 16:00,2025-08-11 20:00,"120,457.96","118,544.32",0.0006226,-1.79,ATR
BTC/USD,5,2025-08-13 21:00,2025-08-14 10:00,"122,961.45","121,034.81",0.00061,-1.77,ATR
BTC/USD,6,2025-08-14 02:00,2025-08-14 06:00,"123,493.84","121,519.56",0.0006073,-1.79,ATR
BTC/USD,7,2025-08-14 04:00,2025-08-14 06:00,"123,556.83","121,683.46",0.000607,-1.73,ATR
BTC/USD,8,2025-08-23 16:00,2025-08-24 19:00,"115,538.18","112,247.80",0.0006491,-2.73,ATR
BTC/USD,9,2025-08-23 18:00,2025-08-24 19:00,"115,270.65","112,118.02",0.0006506,-2.64,ATR
BTC/USD,10,2025-08-23 21:00,2025-08-24 19:00,"115,289.23","112,542.90",0.0006505,-2.38,ATR
BTC/USD,11,2025-08-23 23:00,2025-08-24 19:00,"115,539.32","113,027.16",0.0006491,-2.22,ATR
BTC/USD,12,2025-08-27 18:00,2025-08-29 07:00,"112,621.49","110,880.04",0.000666,-1.76,ATR
BTC/USD,13,2025-09-02 07:00,2025-09-02 12:00,"110,564.07","108,867.66",0.0006783,-1.75,ATR
BTC/USD,14,2025-09-05 12:00,2025-09-05 14:00,"112,571.65","110,859.31",0.0006662,-1.74,ATR
BTC/USD,15,2025-09-05 19:00,2025-09-11 02:00,"111,297.86","113,854.57",0.0006739,+1.12,ATR
BTC/USD,16,2025-09-05 21:00,2025-09-11 03:00,"111,661.21","113,955.91",0.0006717,+0.94,ATR
BTC/USD,17,2025-09-25 18:00,2025-09-29 13:00,"108,950.12","112,293.43",0.0006884,+1.69,ATR
BTC/USD,18,2025-09-28 18:00,2025-09-30 01:00,"110,255.89","114,287.38",0.0006802,+2.13,ATR
BTC/USD,19,2025-09-30 00:00,2025-09-30 09:00,"114,407.14","113,159.89",0.0006555,-1.41,ATR
BTC/USD,20,2025-09-30 11:00,2025-10-01 17:00,"113,155.93","116,610.43",0.0006628,+1.68,ATR
BTC/USD,21,2025-09-30 20:00,2025-10-01 17:00,"114,231.36","116,610.43",0.0006566,+0.96,ATR
BTC/USD,22,2025-10-01 13:00,2025-10-02 05:00,"116,332.93","118,381.83",0.0006447,+0.72,ATR
BTC/USD,23,2025-10-02 03:00,2025-10-03 16:00,"118,817.02","122,266.67",0.0006312,+1.57,ATR
BTC/USD,24,2025-10-02 06:00,2025-10-03 15:00,"118,377.62","120,762.91",0.0006336,+0.91,ATR
BTC/USD,25,2025-10-02 14:00,2025-10-03 16:00,"119,509.01","122,266.67",0.0006276,+1.12,ATR
BTC/USD,26,2025-10-02 16:00,2025-10-03 16:00,"119,829.10","122,266.67",0.0006259,+0.92,ATR
BTC/USD,27,2025-10-02 18:00,2025-10-03 16:00,"119,589.61","122,266.67",0.0006271,+1.07,ATR
BTC/USD,28,2025-10-02 22:00,2025-10-05 02:00,"120,280.71","123,096.16",0.0006235,+1.15,ATR
BTC/USD,29,2025-10-03 09:00,2025-10-03 16:00,"120,096.52","122,266.67",0.0006245,+0.75,ATR
BTC/USD,30,2025-10-04 03:00,2025-10-06 21:00,"121,999.58","124,666.28",0.0006148,+1.03,ATR
BTC/USD,31,2025-10-05 12:00,2025-10-07 15:00,"123,513.53","121,623.12",0.0006072,-1.74,ATR
BTC/USD,32,2025-10-05 14:00,2025-10-07 15:00,"123,437.38","121,614.95",0.0006076,-1.70,ATR
BTC/USD,33,2025-10-07 03:00,2025-10-07 14:00,"124,668.65","123,101.66",0.0006016,-1.54,ATR
BTC/USD,34,2025-10-07 05:00,2025-10-07 14:00,"124,669.12","123,127.48",0.0006016,-1.52,ATR
BTC/USD,35,2025-10-07 11:00,2025-10-07 14:00,"124,075.48","122,542.28",0.0006045,-1.52,ATR
BTC/USD,36,2025-10-10 22:00,2025-10-11 01:00,"114,451.42","110,875.91",0.0006553,-2.93,ATR
BTC/USD,37,2025-10-13 13:00,2025-10-14 05:00,"114,743.45","112,510.05",0.0006536,-2.05,ATR
BTC/USD,38,2025-10-20 02:00,2025-10-20 16:00,"108,294.52","110,297.40",0.0006926,+0.78,ATR
BTC/USD,39,2025-10-23 23:00,2025-10-26 22:00,"110,113.21","114,014.26",0.0006811,+2.05,ATR
BTC/USD,40,2025-10-24 18:00,2025-10-26 22:00,"110,214.16","114,014.26",0.0006805,+1.98,ATR
BTC/USD,41,2025-10-26 23:00,2025-10-28 20:00,"114,533.38","112,966.99",0.0006548,-1.62,ATR
BTC/USD,42,2025-10-27 03:00,2025-10-28 20:00,"114,886.67","113,401.16",0.0006528,-1.57,ATR
BTC/USD,43,2025-10-27 13:00,2025-10-28 05:00,"115,057.50","113,525.48",0.0006519,-1.59,ATR
BTC/USD,44,2025-10-27 15:00,2025-10-28 20:00,"114,716.02","113,183.53",0.0006538,-1.60,ATR
BTC/USD,45,2025-10-28 04:00,2025-10-28 20:00,"114,111.10","112,611.34",0.0006572,-1.58,ATR
BTC/USD,46,2025-10-28 07:00,2025-10-28 20:00,"114,230.84","112,753.87",0.0006566,-1.57,ATR
BTC/USD,47,2025-11-02 12:00,2025-11-02 16:00,"111,277.97","109,991.27",0.000674,-1.46,ATR
BTC/USD,48,2025-11-11 02:00,2025-11-11 12:00,"106,503.86","104,415.32",0.0007042,-2.06,ATR
BTC/USD,49,2025-11-11 10:00,2025-11-11 15:00,"105,300.90","103,406.20",0.0007122,-1.94,ATR
BTC/USD,50,2025-11-26 23:00,2025-12-01 00:00,"90,370.11","88,634.60",0.0008299,-2.03,ATR
BTC/USD,51,2025-11-27 10:00,2025-12-01 00:00,"91,573.77","90,044.88",0.000819,-1.85,ATR
BTC/USD,52,2025-11-27 14:00,2025-12-01 00:00,"90,884.55","89,402.80",0.0008252,-1.82,ATR
BTC/USD,53,2025-12-04 00:00,2025-12-04 19:00,"93,461.56","91,429.17",0.0008025,-2.22,ATR
BTC/USD,54,2025-12-04 07:00,2025-12-04 19:00,"93,332.75","91,429.91",0.0008036,-2.12,ATR
BTC/USD,55,2025-12-04 18:00,2025-12-05 13:00,"92,476.17","90,543.31",0.000811,-2.16,ATR
BTC/USD,56,2025-12-04 23:00,2025-12-05 13:00,"92,640.43","90,746.17",0.0008096,-2.13,ATR
BTC/USD,57,2025-12-05 01:00,2025-12-05 13:00,"92,507.48","90,718.99",0.0008107,-2.04,ATR
BTC/USD,58,2025-12-08 21:00,2025-12-09 16:00,"90,774.83","92,882.13",0.0008262,+1.13,ATR
BTC/USD,59,2025-12-10 02:00,2025-12-11 01:00,"92,415.42","90,574.27",0.0008115,-2.09,ATR
